FileFormat:0002.2 file with temperature of atmosphere
200
local	GMT or Local
0	GMT-Local=[hours]
0	Height[m]
0	0	0	Longitude                [grd]               [min]               [sec]
0	0	0	Latitude                [grd]               [min]               [sec]
N	NS
59,40	Freq[GHz]
0,00	dTemostat[K]
0,150	MessErr[K]
0,248	//[grad/step]
version 14.0.20110218
MTP5H033F5940K-33.00D180214+A1.1
Commentary:
enter comment
End Of Commentary

SYSTEM\alaska.dat
data time	0	50	100	150	200	250	300	350	400	450	500	550	600	OutsideTemperature	Quality
31/01/2020 00:00:00	0,10	0,42	0,36	0,09	-0,51	-1,38	-2,22	-2,85	-3,19	-3,46	-3,69	-3,86	-4,03	0,08	0
31/01/2020 00:05:00	0,07	0,49	0,40	0,05	-0,59	-1,47	-2,34	-2,95	-3,25	-3,49	-3,69	-3,83	-3,97	0,08	0
31/01/2020 00:10:00	0,11	0,44	0,38	0,07	-0,62	-1,48	-2,31	-2,92	-3,25	-3,51	-3,72	-3,85	-3,99	0,11	0
31/01/2020 00:15:00	0,10	0,53	0,47	0,04	-0,65	-1,54	-2,39	-2,99	-3,30	-3,54	-3,72	-3,83	-3,93	0,08	0
31/01/2020 00:20:00	0,07	0,46	0,40	0,05	-0,56	-1,44	-2,29	-2,91	-3,22	-3,46	-3,67	-3,81	-3,95	0,10	0
31/01/2020 00:25:00	0,06	0,49	0,37	-0,03	-0,70	-1,58	-2,44	-3,04	-3,33	-3,56	-3,74	-3,87	-3,99	0,12	0
31/01/2020 00:30:00	0,10	0,42	0,36	-0,03	-0,66	-1,52	-2,33	-2,93	-3,24	-3,49	-3,69	-3,83	-3,97	0,08	0
31/01/2020 00:35:00	0,06	0,42	0,30	-0,04	-0,66	-1,46	-2,30	-2,88	-3,15	-3,36	-3,54	-3,67	-3,80	0,08	0
31/01/2020 00:40:00	0,10	0,47	0,38	-0,08	-0,74	-1,62	-2,45	-3,02	-3,30	-3,51	-3,67	-3,75	-3,83	0,09	0
31/01/2020 00:45:00	0,05	0,42	0,32	-0,10	-0,69	-1,56	-2,39	-2,98	-3,26	-3,49	-3,68	-3,80	-3,93	0,11	0
31/01/2020 00:50:00	0,14	0,42	0,31	-0,01	-0,61	-1,46	-2,21	-2,76	-3,05	-3,29	-3,49	-3,63	-3,77	0,11	0
31/01/2020 00:55:00	0,06	0,40	0,35	-0,05	-0,67	-1,47	-2,30	-2,89	-3,18	-3,42	-3,61	-3,73	-3,86	0,08	0
31/01/2020 01:00:00	0,07	0,36	0,29	-0,02	-0,60	-1,46	-2,28	-2,88	-3,20	-3,45	-3,65	-3,81	-3,96	0,06	0
31/01/2020 01:05:00	0,12	0,38	0,33	-0,02	-0,58	-1,41	-2,26	-2,88	-3,19	-3,44	-3,64	-3,79	-3,93	0,08	0
31/01/2020 01:10:00	0,09	0,33	0,32	0,04	-0,55	-1,41	-2,28	-2,93	-3,29	-3,57	-3,80	-3,97	-4,13	0,04	0
31/01/2020 01:15:00	0,05	0,35	0,27	-0,08	-0,67	-1,54	-2,41	-3,02	-3,33	-3,57	-3,77	-3,91	-4,05	0,04	0
31/01/2020 01:20:00	0,06	0,38	0,26	-0,17	-0,76	-1,60	-2,36	-2,89	-3,15	-3,37	-3,54	-3,65	-3,77	0,24	0
31/01/2020 01:25:00	0,03	0,41	0,34	-0,07	-0,65	-1,50	-2,33	-2,91	-3,20	-3,44	-3,63	-3,76	-3,90	0,06	0
31/01/2020 01:30:00	0,00	0,26	0,23	-0,01	-0,57	-1,44	-2,32	-2,99	-3,34	-3,63	-3,87	-4,07	-4,26	-0,01	0
31/01/2020 01:35:00	-0,04	0,27	0,18	-0,22	-0,88	-1,70	-2,52	-3,10	-3,38	-3,60	-3,77	-3,88	-3,98	-0,02	0
31/01/2020 01:40:00	0,03	0,27	0,14	-0,23	-0,81	-1,64	-2,43	-2,99	-3,27	-3,49	-3,68	-3,81	-3,95	-0,01	0
31/01/2020 01:45:00	-0,06	0,31	0,17	-0,27	-0,88	-1,69	-2,51	-3,05	-3,29	-3,48	-3,64	-3,74	-3,83	-0,02	0
31/01/2020 01:50:00	-0,10	0,22	0,08	-0,31	-0,92	-1,74	-2,57	-3,14	-3,40	-3,60	-3,77	-3,88	-3,98	-0,10	0
31/01/2020 01:55:00	-0,13	0,08	-0,02	-0,29	-0,90	-1,76	-2,57	-3,17	-3,49	-3,73	-3,93	-4,07	-4,21	-0,13	0
31/01/2020 02:00:00	-0,13	0,10	-0,09	-0,49	-1,04	-1,81	-2,57	-3,08	-3,31	-3,50	-3,67	-3,79	-3,91	-0,14	0
31/01/2020 02:05:00	-0,11	0,05	-0,05	-0,43	-0,96	-1,72	-2,51	-3,06	-3,32	-3,53	-3,71	-3,83	-3,95	-0,16	0
31/01/2020 02:10:00	-0,14	0,13	-0,04	-0,43	-0,97	-1,77	-2,56	-3,09	-3,33	-3,53	-3,70	-3,82	-3,94	-0,11	0
31/01/2020 02:15:00	-0,14	0,09	-0,04	-0,48	-1,05	-1,84	-2,58	-3,09	-3,32	-3,50	-3,64	-3,72	-3,80	-0,15	0
31/01/2020 02:20:00	-0,20	0,09	-0,06	-0,39	-1,02	-1,79	-2,55	-3,10	-3,36	-3,58	-3,76	-3,89	-4,02	-0,16	0
31/01/2020 02:25:00	-0,13	0,11	-0,04	-0,48	-0,99	-1,80	-2,58	-3,11	-3,34	-3,54	-3,70	-3,81	-3,92	-0,14	0
