FileFormat:0002.2 file with temperature of atmosphere
200
local	GMT or Local
0	GMT-Local=[hours]
0	Height[m]
0	0	0	Longitude                [grd]               [min]               [sec]
0	0	0	Latitude                [grd]               [min]               [sec]
N	NS
59,40	Freq[GHz]
0,00	dTemostat[K]
0,150	MessErr[K]
0,248	//[grad/step]
version 14.0.20110218
MTP5H033F5940K-33.00D180214+A1.1
Commentary:
enter comment
End Of Commentary

SYSTEM\summer.dat
data time	0	50	100	150	200	250	300	350	400	450	500	550	600	OutsideTemperature	Quality
27/10/2020 00:00:00	8,15	8,95	9,21	9,11	8,82	8,51	8,19	7,84	7,47	7,10	6,73	6,36	5,98	8,07	0
27/10/2020 00:05:00	7,94	9,06	9,38	9,24	8,98	8,63	8,20	7,79	7,39	6,99	6,59	6,18	5,78	7,94	0
27/10/2020 00:10:00	7,76	8,97	9,36	9,24	8,99	8,64	8,23	7,82	7,42	7,02	6,61	6,20	5,80	7,52	0
27/10/2020 00:15:00	7,31	8,66	9,07	8,99	8,70	8,31	7,92	7,51	7,09	6,68	6,26	5,84	5,42	7,32	0
27/10/2020 00:20:00	7,14	8,33	8,76	8,66	8,41	8,05	7,66	7,26	6,85	6,44	6,03	5,61	5,19	7,21	0
27/10/2020 00:25:00	6,96	8,28	8,72	8,62	8,33	7,91	7,55	7,14	6,71	6,29	5,86	5,43	5,01	7,15	0
27/10/2020 00:30:00	7,26	8,23	8,59	8,48	8,22	7,80	7,42	7,02	6,61	6,20	5,78	5,35	4,93	7,55	0
27/10/2020 00:35:00	7,54	8,49	8,80	8,74	8,49	8,13	7,80	7,44	7,05	6,67	6,28	5,88	5,49	7,43	0
27/10/2020 00:40:00	7,25	8,58	8,91	8,79	8,55	8,18	7,72	7,28	6,87	6,47	6,06	5,66	5,26	7,60	0
27/10/2020 00:45:00	7,57	8,65	8,97	8,84	8,54	8,24	7,90	7,53	7,14	6,76	6,38	6,01	5,64	7,55	0
27/10/2020 00:50:00	7,61	8,69	8,92	8,80	8,55	8,20	7,86	7,49	7,11	6,75	6,39	6,04	5,68	7,74	0
27/10/2020 00:55:00	7,77	8,65	8,90	8,77	8,52	8,21	7,86	7,50	7,13	6,77	6,41	6,05	5,69	7,90	0
27/10/2020 01:00:00	7,90	8,54	8,75	8,71	8,54	8,26	7,88	7,51	7,17	6,82	6,46	6,09	5,72	8,02	0
27/10/2020 01:05:00	7,69	8,53	8,86	8,81	8,56	8,26	7,90	7,53	7,15	6,78	6,39	6,00	5,61	7,76	0
27/10/2020 01:10:00	7,63	8,59	8,86	8,85	8,64	8,35	7,94	7,55	7,18	6,82	6,44	6,06	5,67	7,92	0
27/10/2020 01:15:00	7,77	8,52	8,80	8,80	8,59	8,32	7,97	7,62	7,26	6,90	6,53	6,15	5,77	7,75	0
27/10/2020 01:20:00	7,88	8,50	8,73	8,63	8,44	8,24	7,98	7,69	7,37	7,06	6,76	6,46	6,15	7,72	0
27/10/2020 01:25:00	7,76	8,48	8,75	8,65	8,47	8,17	7,78	7,41	7,05	6,69	6,31	5,94	5,56	7,80	0
27/10/2020 01:30:00	7,99	8,54	8,69	8,53	8,32	8,02	7,75	7,44	7,10	6,77	6,46	6,14	5,81	7,84	0
27/10/2020 01:35:00	7,82	8,29	8,44	8,31	8,10	7,84	7,52	7,20	6,87	6,55	6,23	5,91	5,59	7,80	0
27/10/2020 01:40:00	7,88	8,24	8,33	8,21	8,07	7,79	7,52	7,24	6,93	6,63	6,34	6,04	5,74	7,75	0
27/10/2020 01:45:00	7,79	8,16	8,31	8,16	8,02	7,76	7,52	7,25	6,95	6,65	6,36	6,07	5,77	7,75	0
27/10/2020 01:50:00	7,77	8,20	8,32	8,26	8,08	7,79	7,48	7,17	6,85	6,53	6,20	5,87	5,53	7,71	0
27/10/2020 01:55:00	7,83	8,14	8,14	8,00	7,83	7,55	7,34	7,08	6,79	6,52	6,26	6,00	5,74	7,71	0
27/10/2020 02:00:00	7,79	8,12	8,22	8,15	7,92	7,67	7,37	7,07	6,75	6,44	6,14	5,82	5,50	7,78	0
27/10/2020 02:05:00	7,67	8,09	8,16	8,05	7,89	7,68	7,43	7,16	6,86	6,59	6,33	6,06	5,80	7,90	0
27/10/2020 02:10:00	7,87	8,20	8,28	8,19	8,03	7,80	7,54	7,26	6,96	6,68	6,40	6,11	5,82	7,82	0
27/10/2020 02:15:00	7,76	8,14	8,20	8,17	7,99	7,77	7,49	7,20	6,90	6,61	6,33	6,03	5,74	7,77	0
27/10/2020 02:20:00	7,83	8,14	8,23	8,17	8,01	7,81	7,52	7,22	6,93	6,64	6,35	6,05	5,75	7,69	0
27/10/2020 02:25:00	7,76	8,11	8,17	8,11	7,93	7,77	7,46	7,16	6,87	6,59	6,32	6,04	5,75	7,71	0
27/10/2020 02:30:00	7,62	8,06	8,20	8,14	8,00	7,78	7,57	7,32	7,03	6,75	6,47	6,19	5,91	7,55	0
27/10/2020 02:35:00	7,55	8,06	8,24	8,24	8,17	7,89	7,66	7,39	7,09	6,80	6,50	6,19	5,88	7,55	0
27/10/2020 02:40:00	7,50	8,14	8,36	8,38	8,21	8,01	7,80	7,55	7,25	6,96	6,67	6,37	6,08	7,53	0
27/10/2020 02:45:00	7,58	8,08	8,32	8,26	8,10	7,89	7,60	7,30	6,98	6,66	6,35	6,02	5,70	7,50	0
27/10/2020 02:50:00	7,24	8,13	8,44	8,42	8,24	8,04	7,69	7,35	7,01	6,68	6,34	6,00	5,65	7,47	0
27/10/2020 02:55:00	7,65	8,35	8,63	8,62	8,50	8,35	8,08	7,79	7,49	7,20	6,91	6,61	6,31	7,52	0
27/10/2020 03:00:00	7,68	8,42	8,58	8,53	8,44	8,19	7,89	7,58	7,27	6,98	6,69	6,39	6,09	7,35	0
27/10/2020 03:05:00	7,61	8,37	8,59	8,54	8,32	8,14	7,87	7,58	7,26	6,96	6,66	6,37	6,07	7,10	0
